SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
69,SnapDragon,Canada,C++,2012,2,19,Mountain View,Small,1,23,35,,,46,41,2,0,36,8,17,2,18,5.5,8.5
70,SnapDragon,Canada,C++,2012,2,19,Mountain View,Large,1,24,56,,,46,41,2,0,36,8,17,2,18,5.5,8.5
71,SnapDragon,Canada,C++,2012,2,19,Descending in the Dark,Small,2,22,55,,,74,64,7,0,68,12,29,2,26,2.5,12
72,Ahyangyi,China,C++,2012,Qual,9599,Speaking in Tongues,Small,5,23,22,,,22,18,1,0,12,2,8,1,13,1,6
73,Ahyangyi,China,C++,2012,Qual,9599,Dancing With the Googlers,Small,5,39,9,,,39,33,1,0,17,3,0,1,30,1,9
74,Ahyangyi,China,C++,2012,Qual,9599,Dancing With the Googlers,Large,5,39,44,,,39,33,1,0,17,3,0,1,30,1,9
75,Ahyangyi,China,C++,2012,1B,131,Safety in Numbers,Small,0,24,10,,,,,,,,,,,,,
76,Ahyangyi,China,C++,2012,1B,131,Safety in Numbers,Large,0,24,38,,,,,,,,,,,,,
77,Ahyangyi,China,C++,2012,1B,131,"Tide Goes In, Tide Goes Out",Small,1,10,7,,,89,65,3,0,51,12,54,3,17.67,5.33,8.67
78,Ahyangyi,China,C++,2012,1B,131,"Tide Goes In, Tide Goes Out",Large,1,10,38,,,89,65,3,0,51,12,54,3,17.67,5.33,8.67
79,Ahyangyi,China,C++,2012,1B,131,Equal Sums,Small,0,38,7,,,65,49,2,0,31,8,6,1,43,3,15
80,Ahyangyi,China,C++,2012,2,108,Swinging Wild,Small,0,16,47,,,35,27,2,0,14,4,17,1,20,1,9
81,Ahyangyi,China,C++,2012,2,108,Swinging Wild,Large,0,17,19,,,35,27,2,0,14,4,17,1,20,1,9
82,Ahyangyi,China,C++,2012,2,108,Aerobics,Small,0,45,17,,,40,33,2,0,35,4,23,1,24,1,8
83,Ahyangyi,China,C++,2012,2,108,Mountain View,Small,1,44,54,,,59,41,2,0,28,9,17,3,10,3.67,4.33
84,Ahyangyi,China,C++,2012,2,108,Mountain View,Large,1,45,30,,,59,41,2,0,28,9,17,3,10,3.67,4.33
85,Ahyangyi,China,C++,2012,2,108,Descending in the Dark,Small,2,28,39,,,120,95,4,0,65,13,78,5,14.8,2.8,8.8
86,squark,China,C++,2012,Qual,1141,Speaking in Tongues,Small,3,52,35,,,47,44,2,0,22,3,21,1,40,1,14
87,squark,China,C++,2012,Qual,1141,Dancing With the Googlers,Small,4,4,0,,,32,29,1,0,14,3,0,1,28,1,8
88,squark,China,C++,2012,Qual,1141,Dancing With the Googlers,Large,4,4,55,,,32,29,1,0,14,3,0,1,28,1,8
89,squark,China,C++,2012,Qual,1141,Recycled Numbers,Small,4,27,43,,,38,34,2,0,20,4,12,1,30,1,12
90,squark,China,C++,2012,Qual,1141,Recycled Numbers,Large,4,29,16,,,38,34,2,0,20,4,12,1,30,1,12
91,squark,China,C++,2012,1A,4,Password Problem,Small,0,11,57,,,48,43,20,6,22,4,7,1,21,1,4
92,squark,China,C++,2012,1A,4,Password Problem,Large,0,12,37,,,48,43,20,6,22,4,7,1,21,1,4
93,squark,China,C++,2012,1A,4,Kingdom Rush,Small,0,26,0,,,68,60,20,6,28,7,11,1,37,1,11
94,squark,China,C++,2012,1A,4,Kingdom Rush,Large,0,27,5,,,68,60,20,6,28,7,11,1,37,1,11
95,squark,China,C++,2012,1A,4,Cruise Control,Small,1,41,15,,,179,148,20,6,71,30,81,6,19.33,3,8.33
96,squark,China,C++,2012,1A,4,Cruise Control,Large,1,42,12,,,179,148,20,6,71,30,81,6,19.33,3,8.33
97,squark,China,C++,2012,2,50,Swinging Wild,Small,0,14,22,,,58,54,20,6,30,3,22,1,31,1,11
98,squark,China,C++,2012,2,50,Swinging Wild,Large,0,15,40,,,58,54,20,6,30,3,22,1,31,1,11
99,squark,China,C++,2012,2,50,Aerobics,Small,1,55,55,,,132,111,20,15,60,25,96,3,28,2,6.67
100,squark,China,C++,2012,2,50,Aerobics,Large,1,56,26,,,132,111,20,15,60,25,96,3,28,2,6.67
101,squark,China,C++,2012,2,50,Mountain View,Small,0,37,36,,,68,61,20,6,33,6,21,2,18.5,2.5,6
102,squark,China,C++,2012,2,50,Mountain View,Large,0,39,26,,,68,61,20,6,33,6,21,2,18.5,2.5,6
103,meret,Poland,C++,2012,Qual,5091,Speaking in Tongues,Small,13,2,42,,,83,71,33,12,49,12,10,1,25,1,8
104,meret,Poland,C++,2012,Qual,5091,Dancing With the Googlers,Small,13,12,31,,,75,65,33,12,39,11,0,2,14.5,1,7
105,meret,Poland,C++,2012,Qual,5091,Dancing With the Googlers,Large,13,12,53,,,75,65,33,12,39,11,0,2,14.5,1,7
